state_code,priority,field,our_value,reference_value,match,notes,primary_source_needed
CT,HIGH,economic_threshold_amount,100000,100000,YES,,
CT,HIGH,economic_threshold_transactions,200,200,YES,,
CT,HIGH,threshold_test_type,and,and,YES,,
CT,HIGH,economic_threshold_period,12mo_ending_sep30,12mo_ending_sep30,YES,,
CT,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
NC,HIGH,economic_threshold_amount,100000,100000,YES,,
NC,HIGH,economic_threshold_transactions,(null),(null),YES,,
NC,HIGH,threshold_test_type,or,or,YES,,
NC,HIGH,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
NC,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
NY,HIGH,economic_threshold_amount,500000,500000,YES,,
NY,HIGH,economic_threshold_transactions,100,100,YES,,
NY,HIGH,threshold_test_type,and,and,YES,,
NY,HIGH,economic_threshold_period,prior_4_quarters,prior_4_quarters,YES,,
NY,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
OH,HIGH,economic_threshold_amount,100000,100000,YES,,
OH,HIGH,economic_threshold_transactions,200,200,YES,,
OH,HIGH,threshold_test_type,or,or,YES,,
OH,HIGH,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
OH,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
PA,HIGH,economic_threshold_amount,100000,100000,YES,,
PA,HIGH,economic_threshold_transactions,(null),(null),YES,,
PA,HIGH,threshold_test_type,or,or,YES,,
PA,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
TX,HIGH,economic_threshold_amount,500000,500000,YES,,
TX,HIGH,economic_threshold_transactions,(null),(null),YES,,
TX,HIGH,threshold_test_type,or,or,YES,,
TX,HIGH,economic_threshold_period,prior_12_months,prior_12_months,YES,,
TX,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
AL,,economic_threshold_amount,250000,250000,YES,,
AL,,economic_threshold_transactions,(null),(null),YES,,
AL,,threshold_test_type,or,or,YES,,
AL,,economic_threshold_period,prior_calendar_year,prior_calendar_year,YES,,
AR,,economic_threshold_amount,100000,100000,YES,,
AR,,economic_threshold_transactions,200,200,YES,,
AR,,threshold_test_type,or,or,YES,,
AR,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
AZ,,economic_threshold_amount,100000,100000,YES,,
AZ,,economic_threshold_transactions,(null),(null),YES,,
AZ,,threshold_test_type,or,or,YES,,
AZ,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
CO,,economic_threshold_amount,100000,100000,YES,,
CO,,economic_threshold_transactions,(null),(null),YES,,
CO,,threshold_test_type,or,or,YES,,
CO,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
DC,,economic_threshold_amount,100000,100000,YES,,
DC,,economic_threshold_transactions,200,200,YES,,
DC,,threshold_test_type,or,or,YES,,
DC,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
DC,,marketplace_sales_count_toward_threshold,True,True,YES,,
FL,,economic_threshold_amount,100000,100000,YES,,
FL,,economic_threshold_transactions,(null),(null),YES,,
FL,,threshold_test_type,or,or,YES,,
FL,,economic_threshold_period,prior_calendar_year,prior_calendar_year,YES,,
GA,,economic_threshold_amount,100000,100000,YES,,
GA,,economic_threshold_transactions,200,200,YES,,
GA,,threshold_test_type,or,or,YES,,
GA,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
HI,,economic_threshold_amount,100000,100000,YES,,
HI,,economic_threshold_transactions,200,200,YES,,
HI,,threshold_test_type,or,or,YES,,
HI,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
HI,,marketplace_sales_count_toward_threshold,True,True,YES,,
IA,,economic_threshold_amount,100000,100000,YES,,
IA,,economic_threshold_transactions,(null),(null),YES,,
IA,,threshold_test_type,or,or,YES,,
IA,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
IA,,marketplace_sales_count_toward_threshold,True,True,YES,,
ID,,economic_threshold_amount,100000,100000,YES,,
ID,,economic_threshold_transactions,(null),(null),YES,,
ID,,threshold_test_type,or,or,YES,,
ID,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
ID,,marketplace_sales_count_toward_threshold,True,True,YES,,
IL,,economic_threshold_amount,100000,100000,YES,,
IL,,economic_threshold_transactions,(null),(null),YES,,
IL,,threshold_test_type,or,or,YES,,
IL,,economic_threshold_period,prior_12_months,prior_12_months,YES,,
IN,,economic_threshold_amount,100000,100000,YES,,
IN,,economic_threshold_transactions,(null),(null),YES,,
IN,,threshold_test_type,or,or,YES,,
IN,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
KS,,economic_threshold_amount,100000,100000,YES,,
KS,,economic_threshold_transactions,(null),(null),YES,,
KS,,threshold_test_type,or,or,YES,,
KS,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
KS,,marketplace_sales_count_toward_threshold,True,True,YES,,
KY,,economic_threshold_amount,100000,100000,YES,,
KY,,threshold_test_type,or,or,YES,,
KY,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
KY,,marketplace_sales_count_toward_threshold,True,True,YES,,
LA,,economic_threshold_amount,100000,100000,YES,,
LA,,economic_threshold_transactions,(null),(null),YES,,
LA,,threshold_test_type,or,or,YES,,
LA,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
LA,,marketplace_sales_count_toward_threshold,True,True,YES,,
MA,,economic_threshold_amount,100000,100000,YES,,
MA,,economic_threshold_transactions,(null),(null),YES,,
MA,,threshold_test_type,or,or,YES,,
MD,,economic_threshold_amount,100000,100000,YES,,
MD,,economic_threshold_transactions,200,200,YES,,
MD,,threshold_test_type,or,or,YES,,
MD,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
MD,,marketplace_sales_count_toward_threshold,True,True,YES,,
ME,,economic_threshold_amount,100000,100000,YES,,
ME,,economic_threshold_transactions,(null),(null),YES,,
ME,,threshold_test_type,or,or,YES,,
ME,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
MI,,economic_threshold_amount,100000,100000,YES,,
MI,,economic_threshold_transactions,200,200,YES,,
MI,,threshold_test_type,or,or,YES,,
MI,,marketplace_sales_count_toward_threshold,True,True,YES,,
MN,,economic_threshold_amount,100000,100000,YES,,
MN,,economic_threshold_transactions,200,200,YES,,
MN,,threshold_test_type,or,or,YES,,
MN,,economic_threshold_period,prior_12_months,prior_12_months,YES,,
MN,,marketplace_sales_count_toward_threshold,True,True,YES,,
MO,,economic_threshold_amount,100000,100000,YES,,
MO,,economic_threshold_transactions,(null),(null),YES,,
MO,,threshold_test_type,or,or,YES,,
MO,,marketplace_sales_count_toward_threshold,True,True,YES,,
MS,,economic_threshold_amount,250000,250000,YES,,
MS,,economic_threshold_transactions,(null),(null),YES,,
MS,,threshold_test_type,or,or,YES,,
MS,,economic_threshold_period,prior_12_months,prior_12_months,YES,,
ND,,economic_threshold_amount,100000,100000,YES,,
ND,,economic_threshold_transactions,(null),(null),YES,,
ND,,threshold_test_type,or,or,YES,,
ND,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
NE,,economic_threshold_amount,100000,100000,YES,,
NE,,economic_threshold_transactions,200,200,YES,,
NE,,threshold_test_type,or,or,YES,,
NE,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
NE,,marketplace_sales_count_toward_threshold,True,True,YES,,
NJ,,economic_threshold_amount,100000,100000,YES,,
NJ,,economic_threshold_transactions,200,200,YES,,
NJ,,threshold_test_type,or,or,YES,,
NJ,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
NJ,,marketplace_sales_count_toward_threshold,True,True,YES,,
NM,,economic_threshold_amount,100000,100000,YES,,
NM,,economic_threshold_transactions,(null),(null),YES,,
NM,,threshold_test_type,or,or,YES,,
NV,,economic_threshold_amount,100000,100000,YES,,
NV,,economic_threshold_transactions,200,200,YES,,
NV,,threshold_test_type,or,or,YES,,
NV,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
NV,,marketplace_sales_count_toward_threshold,True,True,YES,,
OK,,economic_threshold_amount,100000,100000,YES,,
OK,,economic_threshold_transactions,(null),(null),YES,,
OK,,threshold_test_type,or,or,YES,,
RI,,economic_threshold_amount,100000,100000,YES,,
RI,,economic_threshold_transactions,200,200,YES,,
RI,,threshold_test_type,or,or,YES,,
RI,,economic_threshold_period,prior_calendar_year,prior_calendar_year,YES,,
RI,,marketplace_sales_count_toward_threshold,True,True,YES,,
SC,,economic_threshold_amount,100000,100000,YES,,
SC,,economic_threshold_transactions,(null),(null),YES,,
SC,,threshold_test_type,or,or,YES,,
SC,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
SC,,marketplace_sales_count_toward_threshold,True,True,YES,,
SD,,economic_threshold_amount,100000,100000,YES,,
SD,,economic_threshold_transactions,(null),(null),YES,,
SD,,threshold_test_type,or,or,YES,,
SD,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
SD,,marketplace_sales_count_toward_threshold,True,True,YES,,
TN,,economic_threshold_amount,100000,100000,YES,,
TN,,economic_threshold_transactions,(null),(null),YES,,
TN,,threshold_test_type,or,or,YES,,
TN,,economic_threshold_period,prior_12_months,prior_12_months,YES,,
UT,,economic_threshold_amount,100000,100000,YES,,
UT,,economic_threshold_transactions,(null),(null),YES,,
UT,,threshold_test_type,or,or,YES,,
UT,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
VA,,economic_threshold_amount,100000,100000,YES,,
VA,,economic_threshold_transactions,200,200,YES,,
VA,,threshold_test_type,or,or,YES,,
VA,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
VT,,economic_threshold_amount,100000,100000,YES,,
VT,,economic_threshold_transactions,200,200,YES,,
VT,,threshold_test_type,or,or,YES,,
VT,,marketplace_sales_count_toward_threshold,True,True,YES,,
WA,,economic_threshold_amount,100000,100000,YES,,
WA,,economic_threshold_transactions,(null),(null),YES,,
WA,,threshold_test_type,or,or,YES,,
WA,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
WA,,marketplace_sales_count_toward_threshold,True,True,YES,,
WI,,economic_threshold_amount,100000,100000,YES,,
WI,,economic_threshold_transactions,(null),(null),YES,,
WI,,threshold_test_type,or,or,YES,,
WI,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
WI,,marketplace_sales_count_toward_threshold,True,True,YES,,
WV,,economic_threshold_amount,100000,100000,YES,,
WV,,economic_threshold_transactions,200,200,YES,,
WV,,threshold_test_type,or,or,YES,,
WV,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
WV,,marketplace_sales_count_toward_threshold,True,True,YES,,
WY,,economic_threshold_amount,100000,100000,YES,,
WY,,economic_threshold_transactions,(null),(null),YES,,
WY,,threshold_test_type,or,or,YES,,
WY,,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
